parent_stream,stream,weight
cereal,cereal_cpi,250
cereal,cereal_nielsen,500
cereal,cereal_yahoo,125
cereal,cereal_numbeo,125
dairy,dairy_cpi,250
dairy,dairy_nielsen,500
dairy,dairy_yahoo,125
dairy,dairy_numbeo,125
fruits,fruits_cpi,250
fruits,fruits_nielsen,500
fruits,fruits_yahoo,125
fruits,fruits_numbeo,125
meats,meats_cpi,250
meats,meats_nielsen,500
meats,meats_yahoo,125
meats,meats_numbeo,125
other,other_cpi,250
other,other_nielsen,500
other,other_yahoo,125
other,other_numbeo,125
food_away_from_home,food_away_from_home_cpi,30
food_away_from_home,food_away_from_home_bigmac,30
food_away_from_home,food_away_from_home_yahoo,30
food_away_from_home,food_away_from_home_numbeo,10
food_at_home,cereal,12946
food_at_home,dairy,21751
food_at_home,fruits,9589
food_at_home,meats,19768
food_at_home,other,35946
food_and_beverages,food_at_home,32451
food_and_beverages,food_away_from_home,67549
