date_value,value,created_at
2000-07-17,179.25,2023-07-13 04:15:15
2000-07-18,180.75,2023-07-13 04:15:15
2000-07-19,182,2023-07-13 04:15:15
2000-07-20,186,2023-07-13 04:15:15
2000-07-21,187.75,2023-07-13 04:15:15
2000-07-24,184.5,2023-07-13 04:15:15
2000-07-25,182.75,2023-07-13 04:15:15
2000-07-26,180.5,2023-07-13 04:15:15
2000-07-27,181,2023-07-13 04:15:15
2000-07-28,180.25,2023-07-13 04:15:15
2000-07-31,180.25,2023-07-13 04:15:15
2000-08-01,179.75,2023-07-13 04:15:15
2000-08-02,180.5,2023-07-13 04:15:15
2000-08-03,180,2023-07-13 04:15:15
2000-08-04,178.75,2023-07-13 04:15:15
2000-08-07,177.75,2023-07-13 04:15:15
2000-08-08,179.5,2023-07-13 04:15:15
2000-08-09,178.25,2023-07-13 04:15:15
2000-08-10,177.25,2023-07-13 04:15:15
2000-08-11,174.75,2023-07-13 04:15:15
2000-08-14,175.75,2023-07-13 04:15:15
2000-08-15,175.75,2023-07-13 04:15:15
2000-08-16,178.5,2023-07-13 04:15:15
2000-08-17,178.5,2023-07-13 04:15:15
2000-08-18,177.5,2023-07-13 04:15:15
2000-08-21,176.25,2023-07-13 04:15:15
2000-08-22,175.5,2023-07-13 04:15:15
2000-08-23,175.25,2023-07-13 04:15:15
2000-08-24,176,2023-07-13 04:15:15
2000-08-25,176.5,2023-07-13 04:15:15
2000-08-28,179.5,2023-07-13 04:15:15
2000-08-29,184.25,2023-07-13 04:15:15
2000-08-30,181.5,2023-07-13 04:15:15
2000-08-31,182,2023-07-13 04:15:15
2000-09-01,183.25,2023-07-13 04:15:15
2000-09-05,183.5,2023-07-13 04:15:15
2000-09-06,186.25,2023-07-13 04:15:15
2000-09-07,181,2023-07-13 04:15:15
2000-09-08,181.75,2023-07-13 04:15:15
2000-09-11,184.25,2023-07-13 04:15:15
2000-09-12,186,2023-07-13 04:15:15
2000-09-13,182.5,2023-07-13 04:15:15
2000-09-14,181,2023-07-13 04:15:15
2000-09-18,184,2023-07-13 04:15:15
2000-09-19,185,2023-07-13 04:15:15
2000-09-20,183.5,2023-07-13 04:15:15
2000-09-21,183.75,2023-07-13 04:15:15
2000-09-22,186.25,2023-07-13 04:15:15
2000-09-25,186.25,2023-07-13 04:15:15
2000-09-26,190,2023-07-13 04:15:15
2000-09-27,190.5,2023-07-13 04:15:15
2000-09-28,190.5,2023-07-13 04:15:15
2000-09-29,192,2023-07-13 04:15:15
2000-10-02,192,2023-07-13 04:15:15
2000-10-03,195.25,2023-07-13 04:15:15
2000-10-04,199.5,2023-07-13 04:15:15
2000-10-05,200.5,2023-07-13 04:15:15
2000-10-06,199.5,2023-07-13 04:15:15
2000-10-09,199.5,2023-07-13 04:15:15
2000-10-10,197.5,2023-07-13 04:15:15
2000-10-11,199.75,2023-07-13 04:15:15
2000-10-12,200.5,2023-07-13 04:15:15
2000-10-13,204,2023-07-13 04:15:15
2000-10-16,204,2023-07-13 04:15:15
2000-10-17,203.25,2023-07-13 04:15:15
2000-10-18,202,2023-07-13 04:15:15
2000-10-19,203,2023-07-13 04:15:15
2000-10-23,200.75,2023-07-13 04:15:15
2000-10-25,199.5,2023-07-13 04:15:15
2000-10-26,198,2023-07-13 04:15:15
2000-10-27,196.25,2023-07-13 04:15:15
2000-10-30,196,2023-07-13 04:15:15
2000-11-02,202.25,2023-07-13 04:15:15
2000-11-06,209.5,2023-07-13 04:15:15
2000-11-07,211.25,2023-07-13 04:15:15
2000-11-08,213.5,2023-07-13 04:15:15
2000-11-09,211.25,2023-07-13 04:15:15
2000-11-13,208.75,2023-07-13 04:15:15
2000-11-14,208,2023-07-13 04:15:15
2000-11-15,208.5,2023-07-13 04:15:15
2000-11-16,208.25,2023-07-13 04:15:15
2000-11-17,209.25,2023-07-13 04:15:15
2000-11-20,212.25,2023-07-13 04:15:15
2000-11-21,210.25,2023-07-13 04:15:15
2000-11-22,210.25,2023-07-13 04:15:15
2000-11-24,210.75,2023-07-13 04:15:15
2000-11-27,212.5,2023-07-13 04:15:15
2000-11-28,209.75,2023-07-13 04:15:15
2000-11-29,207.5,2023-07-13 04:15:15
2000-11-30,205,2023-07-13 04:15:15
2000-12-01,209,2023-07-13 04:15:15
2000-12-04,210,2023-07-13 04:15:15
2000-12-18,215.5,2023-07-13 04:15:15
2000-12-21,218,2023-07-13 04:15:15
2000-12-26,220,2023-07-13 04:15:15
2000-12-27,220.25,2023-07-13 04:15:15
2000-12-28,221,2023-07-13 04:15:15
2000-12-29,222.5,2023-07-13 04:15:15
2001-01-02,222.5,2023-07-13 04:15:15
2001-01-16,218.5,2023-07-13 04:15:15
2001-01-17,216.25,2023-07-13 04:15:15
2001-01-18,218.75,2023-07-13 04:15:15
2001-01-19,218.5,2023-07-13 04:15:15
2001-01-22,214.5,2023-07-13 04:15:15
2001-01-23,216.5,2023-07-13 04:15:15
2001-01-24,214.25,2023-07-13 04:15:15
2001-01-25,214.5,2023-07-13 04:15:15
2001-01-26,214,2023-07-13 04:15:15
2001-01-29,208.75,2023-07-13 04:15:15
2001-01-30,208.75,2023-07-13 04:15:15
2001-01-31,208.5,2023-07-13 04:15:15
2001-02-01,208.5,2023-07-13 04:15:15
2001-02-02,211.5,2023-07-13 04:15:15
2001-02-05,213,2023-07-13 04:15:15
2001-02-06,211.5,2023-07-13 04:15:15
2001-02-07,214,2023-07-13 04:15:15
2001-02-08,211.25,2023-07-13 04:15:15
2001-02-09,210.25,2023-07-13 04:15:15
2001-02-12,209.75,2023-07-13 04:15:15
2001-02-14,210.25,2023-07-13 04:15:15
2001-02-15,213.5,2023-07-13 04:15:15
2001-02-16,213,2023-07-13 04:15:15
2001-02-20,212.5,2023-07-13 04:15:15
2001-02-21,212,2023-07-13 04:15:15
2001-02-22,210,2023-07-13 04:15:15
2001-02-26,209.75,2023-07-13 04:15:15
2001-02-27,209.5,2023-07-13 04:15:15
2001-02-28,211.25,2023-07-13 04:15:15
2001-03-01,214.5,2023-07-13 04:15:15
2001-03-02,217,2023-07-13 04:15:15
2001-03-05,215.5,2023-07-13 04:15:15
2001-03-07,215.75,2023-07-13 04:15:15
2001-03-08,213.25,2023-07-13 04:15:15
2001-03-09,213.5,2023-07-13 04:15:15
2001-03-12,213.5,2023-07-13 04:15:15
2001-03-13,215.5,2023-07-13 04:15:15
2001-03-14,211.5,2023-07-13 04:15:15
2001-03-15,216,2023-07-13 04:15:15
2001-03-16,211.5,2023-07-13 04:15:15
2001-03-19,208.75,2023-07-13 04:15:15
2001-03-20,209.75,2023-07-13 04:15:15
2001-03-21,211.75,2023-07-13 04:15:15
2001-03-22,208.5,2023-07-13 04:15:15
2001-03-23,206,2023-07-13 04:15:15
2001-03-26,208.5,2023-07-13 04:15:15
2001-03-27,210.25,2023-07-13 04:15:15
2001-03-28,210.5,2023-07-13 04:15:15
2001-03-29,209.5,2023-07-13 04:15:15
2001-03-30,206.5,2023-07-13 04:15:15
2001-04-02,209.25,2023-07-13 04:15:15
2001-04-04,210.25,2023-07-13 04:15:15
2001-04-05,212.75,2023-07-13 04:15:15
2001-04-06,213.75,2023-07-13 04:15:15
2001-04-09,212.25,2023-07-13 04:15:15
2001-04-10,211,2023-07-13 04:15:15
2001-04-11,209.25,2023-07-13 04:15:15
2001-04-12,210.5,2023-07-13 04:15:15
2001-04-16,213.5,2023-07-13 04:15:15
2001-04-17,212.75,2023-07-13 04:15:15
2001-04-18,209.75,2023-07-13 04:15:15
2001-04-19,209,2023-07-13 04:15:15
2001-04-20,204.25,2023-07-13 04:15:15
2001-04-23,201.5,2023-07-13 04:15:15
2001-04-24,198,2023-07-13 04:15:15
2001-04-25,194.5,2023-07-13 04:15:15
2001-04-26,197,2023-07-13 04:15:15
2001-04-27,198.25,2023-07-13 04:15:15
2001-04-30,195,2023-07-13 04:15:15
2001-05-01,199.25,2023-07-13 04:15:15
2001-05-02,199.5,2023-07-13 04:15:15
2001-05-03,200.75,2023-07-13 04:15:15
2001-05-04,200.5,2023-07-13 04:15:15
2001-05-07,204,2023-07-13 04:15:15
2001-05-08,200.75,2023-07-13 04:15:15
2001-05-09,197,2023-07-13 04:15:15
2001-05-10,197.75,2023-07-13 04:15:15
2001-05-11,191.5,2023-07-13 04:15:15
2001-05-14,191.5,2023-07-13 04:15:15
2001-05-15,201.5,2023-07-13 04:15:15
2001-05-16,201.25,2023-07-13 04:15:15
2001-05-17,201,2023-07-13 04:15:15
2001-05-18,201.5,2023-07-13 04:15:15
2001-05-21,198.5,2023-07-13 04:15:15
2001-05-22,194,2023-07-13 04:15:15
2001-05-23,192.5,2023-07-13 04:15:15
2001-05-24,193,2023-07-13 04:15:15
2001-05-25,193.25,2023-07-13 04:15:15
2001-05-29,190.75,2023-07-13 04:15:15
2001-05-30,189.25,2023-07-13 04:15:15
2001-05-31,190.25,2023-07-13 04:15:15
2001-06-01,193.5,2023-07-13 04:15:15
2001-06-04,196.5,2023-07-13 04:15:15
2001-06-05,197,2023-07-13 04:15:15
2001-06-06,194.5,2023-07-13 04:15:15
2001-06-07,199.75,2023-07-13 04:15:15
2001-06-08,197.5,2023-07-13 04:15:15
2001-06-12,199,2023-07-13 04:15:15
2001-06-13,198,2023-07-13 04:15:15
2001-06-14,195.5,2023-07-13 04:15:15
2001-06-15,193.75,2023-07-13 04:15:15
2001-06-18,191.5,2023-07-13 04:15:15
2001-06-19,191.5,2023-07-13 04:15:15
2001-06-20,193.5,2023-07-13 04:15:15
2001-06-21,197.75,2023-07-13 04:15:15
2001-06-22,197,2023-07-13 04:15:15
2001-06-25,194.25,2023-07-13 04:15:15
2001-06-26,192.5,2023-07-13 04:15:15
2001-06-27,194.5,2023-07-13 04:15:15
2001-06-28,197.25,2023-07-13 04:15:15
2001-06-29,197.25,2023-07-13 04:15:15
2001-07-02,196.5,2023-07-13 04:15:15
2001-07-03,198.5,2023-07-13 04:15:15
2001-07-05,201.5,2023-07-13 04:15:15
2001-07-06,206,2023-07-13 04:15:15
2001-07-09,205.5,2023-07-13 04:15:15
2001-07-10,213,2023-07-13 04:15:15
2001-07-11,220,2023-07-13 04:15:15
2001-07-12,225.5,2023-07-13 04:15:15
2001-07-13,230.75,2023-07-13 04:15:15
2001-07-16,219.25,2023-07-13 04:15:15
2001-07-17,225,2023-07-13 04:15:15
2001-07-18,216,2023-07-13 04:15:15
2001-07-19,216.75,2023-07-13 04:15:15
2001-07-20,214.5,2023-07-13 04:15:15
2001-07-23,207.5,2023-07-13 04:15:15
2001-07-24,213.25,2023-07-13 04:15:15
2001-07-25,217.5,2023-07-13 04:15:15
2001-07-26,221,2023-07-13 04:15:15
2001-07-27,219,2023-07-13 04:15:15
2001-07-30,218.5,2023-07-13 04:15:15
2001-07-31,213,2023-07-13 04:15:15
2001-08-01,219,2023-07-13 04:15:15
2001-08-02,217.5,2023-07-13 04:15:15
2001-08-03,214.5,2023-07-13 04:15:15
2001-08-06,211,2023-07-13 04:15:15
2001-08-07,216.5,2023-07-13 04:15:15
2001-08-08,216,2023-07-13 04:15:15
2001-08-09,218,2023-07-13 04:15:15
2001-08-10,222,2023-07-13 04:15:15
2001-08-13,222,2023-07-13 04:15:15
2001-08-14,221.75,2023-07-13 04:15:15
2001-08-15,222.5,2023-07-13 04:15:15
2001-08-16,220,2023-07-13 04:15:15
2001-08-17,216.5,2023-07-13 04:15:15
2001-08-20,212.25,2023-07-13 04:15:15
2001-08-21,215.5,2023-07-13 04:15:15
2001-08-22,215.5,2023-07-13 04:15:15
2001-08-23,215,2023-07-13 04:15:15
2001-08-24,217.5,2023-07-13 04:15:15
2001-08-27,214.25,2023-07-13 04:15:15
2001-08-28,219.75,2023-07-13 04:15:15
2001-08-29,216,2023-07-13 04:15:15
2001-08-30,217.5,2023-07-13 04:15:15
2001-08-31,217.25,2023-07-13 04:15:15
2001-09-04,217,2023-07-13 04:15:15
2001-09-05,219,2023-07-13 04:15:15
2001-09-06,216,2023-07-13 04:15:15
2001-09-07,214.25,2023-07-13 04:15:15
2001-09-10,213,2023-07-13 04:15:15
2001-09-11,214.5,2023-07-13 04:15:15
2001-09-12,214.25,2023-07-13 04:15:15
2001-09-14,219.5,2023-07-13 04:15:15
2001-09-18,217.25,2023-07-13 04:15:15
2001-09-19,214.25,2023-07-13 04:15:15
2001-09-20,211.25,2023-07-13 04:15:15
2001-09-21,214,2023-07-13 04:15:15
2001-09-25,210.5,2023-07-13 04:15:15
2001-09-26,210.75,2023-07-13 04:15:15
2001-09-27,212.5,2023-07-13 04:15:15
2001-09-28,211.75,2023-07-13 04:15:15
2001-10-01,211.75,2023-07-13 04:15:15
2001-10-02,205.75,2023-07-13 04:15:15
2001-10-03,204.5,2023-07-13 04:15:15
2001-10-04,206,2023-07-13 04:15:15
2001-10-05,206.75,2023-07-13 04:15:15
2001-10-08,209.5,2023-07-13 04:15:15
2001-10-09,211,2023-07-13 04:15:15
2001-10-10,208.5,2023-07-13 04:15:15
2001-10-11,209.5,2023-07-13 04:15:15
2001-10-12,208.25,2023-07-13 04:15:15
2001-10-15,200.75,2023-07-13 04:15:15
2001-10-17,201.75,2023-07-13 04:15:15
2001-10-18,202.75,2023-07-13 04:15:15
2001-10-19,200.5,2023-07-13 04:15:15
2001-10-22,200.5,2023-07-13 04:15:15
2001-10-23,199,2023-07-13 04:15:15
2001-10-24,199.25,2023-07-13 04:15:15
2001-10-26,202,2023-07-13 04:15:15
2001-10-29,200.5,2023-07-13 04:15:15
2001-10-30,198.5,2023-07-13 04:15:15
2001-10-31,201,2023-07-13 04:15:15
2001-11-01,200.75,2023-07-13 04:15:15
2001-11-02,198.25,2023-07-13 04:15:15
2001-11-05,198.5,2023-07-13 04:15:15
2001-11-06,198.5,2023-07-13 04:15:15
2001-11-07,198.75,2023-07-13 04:15:15
2001-11-08,200,2023-07-13 04:15:15
2001-11-09,204.5,2023-07-13 04:15:15
2001-11-12,205,2023-07-13 04:15:15
2001-11-13,204,2023-07-13 04:15:15
2001-11-14,204,2023-07-13 04:15:15
2001-11-15,207,2023-07-13 04:15:15
2001-11-16,206,2023-07-13 04:15:15
2001-11-19,208.75,2023-07-13 04:15:15
2001-11-20,209,2023-07-13 04:15:15
2001-11-21,209.5,2023-07-13 04:15:15
2001-11-23,209,2023-07-13 04:15:15
2001-11-26,208,2023-07-13 04:15:15
2001-11-27,203.5,2023-07-13 04:15:15
2001-11-28,203.75,2023-07-13 04:15:15
2001-11-29,199.25,2023-07-13 04:15:15
2001-11-30,202,2023-07-13 04:15:15
2001-12-03,208.25,2023-07-13 04:15:15
2001-12-04,210.5,2023-07-13 04:15:15
2001-12-05,211,2023-07-13 04:15:15
2001-12-06,209.75,2023-07-13 04:15:15
2001-12-07,205.5,2023-07-13 04:15:15
2001-12-10,208.25,2023-07-13 04:15:15
2001-12-11,209,2023-07-13 04:15:15
2001-12-12,206.75,2023-07-13 04:15:15
2001-12-14,207.25,2023-07-13 04:15:15
2001-12-17,208,2023-07-13 04:15:15
